outplanting_event,DLAB,OFAV,PCLI,SINT,MCAV,PSTR,CNAT,OANN,DSTO
Coffins Patch TDC DAC3,80,150,380,140,NA,NA,NA,NA,NA
CWVC/Pelican,NA,460,180,NA,180,220,NA,NA,NA
HH-3,NA,500,NA,NA,NA,NA,NA,NA,NA
JP-1,NA,NA,200,NA,200,100,NA,NA,NA
Marker 32 TDC,200,280,500,NA,150,470,NA,NA,NA
Maryland Shoals TDC,NA,150,380,NA,320,350,NA,NA,NA
Rock Key TDC,10,340,280,NA,130,720,20,NA,NA
Sand Key TDC,80,530,NA,NA,NA,140,NA,NA,NA
Sand Key/Coffins,30,100,810,NA,290,230,NA,40,NA
Scuba Pro Outplanting,NA,NA,50,NA,50,NA,NA,NA,NA
Tennessee Ledge TDC,110,500,340,NA,260,340,20,20,10
Tennessee Tower TDC,40,470,340,NA,280,330,NA,40,NA
Western Sambo TDC,NA,270,280,NA,190,290,NA,NA,NA
