,Deliverable,Location,Site ID,# frags,1-month % Survival,12-month % Survival,Frags dead,Frags missing,2024 post-bleaching % survival,species,aliveBefore,aliveNow,propSurvival,propDeadAndMissing
1,State Yr1,Higgs Heads,HH_M_1,240,1,0.996,NA,19,0.766666667,Massives,239.04,184,0.769745649,0.230254351
2,State Yr3,Catspaw,CP_M_1,345,0.899,0.78,NA,1,0.513043478,Massives,269.1,177,0.657748049,0.342251951
3,State Yr3,Site V,ENZ_M_1,105,1,0.981,NA,0,0.68,Massives,103.005,71.4,0.693170234,0.306829766
4,State Yr3,Catspaw,CP_M_2,150,0.987,0.893,NA,3,0.713333333,Massives,133.95,107,0.798805524,0.201194476
5,State Yr5,P (BP Ledge),P_8,500,0.968,0.486,291,NA,0,ACER,243,0,0,1
6,State Yr4,U (SWG),U_13,500,0.994,0.48,248,NA,0,ACER,240,0,0,1
7,State Yr6,U (SWG),U_16,500,0.988,0,431,NA,0,ACER,0,0,NA,NA
8,State Yr5,U (SWG),U_15,500,0.846,0.068,204,NA,0,ACER,34,0,0,1
9,State Yr6,U (SWG),U_17,500,0.996,0,489,11,0,ACER,0,0,NA,NA
10,State Yr5,Site AA,AA_8,500,0.914,0.34,251,NA,0.038,ACER,170,19,0.111764706,0.888235294
11,State Yr4,Site AA,AA_5,500,0.976,0.916,314,NA,0,ACER,458,0,0,1
12,State Yr6,Site AA,AA_9,500,0.992,0.302,165,NA,0,ACER,151,0,0,1
13,State Yr6,Site AA,AA_10,500,0.992,0,484,NA,0.002,ACER,0,1,0.002,0.998
14,State Yr5,Site C,C_12,500,0.98,0.244,261,NA,0,ACER,122,0,0,1
15,State Yr4,Site C,C_9,500,1,0.946,376,NA,0,ACER,473,0,0,1
16,State Yr6,Site C,C_13,500,0.998,0,482,18,0,ACER,0,0,NA,NA
17,State Yr4,Site Z,Z_4,500,0.996,0.858,363,NA,0,ACER,429,0,0,1
18,State Yr4,Site Z,Z_5,500,0.98,0.722,258,NA,0,ACER,361,0,0,1
19,State Yr6,Site Z,Z_9,500,0.966,0,472,NA,0,ACER,0,0,NA,NA
20,State Yr5,Site Z,Z_7,500,1,0.528,325,NA,0,ACER,264,0,0,1
21,State Yr5,Site V,V_9,500,0.984,0.524,313,NA,0,ACER,262,0,0,1
22,State Yr4,Site V,V_6,500,0.948,0.762,300,NA,0,ACER,381,0,0,1
23,State Yr6,Site V,V_10,500,0.888,0,446,NA,0,ACER,0,0,NA,NA
24,State Yr4,Q (American),Q_12,500,0.988,0.848,365,NA,0,ACER,424,0,0,1
25,State Yr6,Q (American),Q_16,500,0.98,0,465,NA,0,ACER,0,0,NA,NA
26,State Yr6,Joes Reef (AB),AB_8,500,1,0,444,NA,0,ACER,0,0,NA,NA
27,State Yr4,Joes Reef (AB),AB_3,500,0.996,0.874,306,NA,0,ACER,437,0,0,1
28,State Yr5,Joes Reef (AB),AB_5,500,0.866,0.45,309,NA,0,ACER,225,0,0,1
29,State Yr6,Joes Reef (AB),AB_7,500,0.972,0,461,NA,0,ACER,0,0,NA,NA
30,State Yr4,Joes Reef (AB),AB_4,500,0.944,0.73,257,NA,0,ACER,365,0,0,1
31,State Yr4,East of MS (AC),AC_1,500,0.944,0.772,320,NA,0,ACER,386,0,0,1
32,State Yr5,East of MS (AC),AC_3,500,0.962,0.55,327,NA,0,ACER,275,0,0,1
33,State Yr6,East of MS (AC),AC_4,500,0.978,0,488,12,0,ACER,0,0,NA,NA
34,State Yr4,Maryland Shoals,MS_1,500,1,0.906,347,NA,0,ACER,453,0,0,1
35,State Yr6,Maryland Shoals,MS_3,500,0.988,0,475,NA,0,ACER,0,0,NA,NA
36,State Yr5,Maryland Shoals,MS_2,500,0.962,0.51,294,NA,0,ACER,255,0,0,1
37,State Yr6,Site AD,AD_2,500,0.996,0.342,168,NA,0,ACER,171,0,0,1
38,State Yr5,I Owe You (AE),AE_1,500,0.96,0.504,277,NA,0,ACER,252,0,0,1
39,State Yr6,Pelican Shoals,PS_2,500,1,0,444,NA,0,ACER,0,0,NA,NA
40,State Yr6,West of Pelican,BE_1,500,0.996,0,480,NA,0,ACER,0,0,NA,NA
41,State Yr5,W. Sambo,WS_2,500,0.974,0.358,184,NA,0,ACER,179,0,0,1
42,State Yr5,X (Hugs&Kisses),X_5,500,0.97,0.446,230,NA,0,ACER,223,0,0,1
43,State Yr5,M32,M32_4,500,0.966,0.248,283,NA,0.002,ACER,124,1,0.008064516,0.991935484
44,State Yr4,BA (9-Ft. Stake),BA_2,500,0.836,0.73,334,NA,0,ACER,365,0,0,1
45,State Yr6,S (Sand Key),S_14b,200,0.995,0.41,92,NA,0,ACER,82,0,0,1
46,State Yr4,S (Sand Key),S_13,500,0.998,0.83,289,NA,0.002,ACER,415,1,0.002409639,0.997590361
47,State Yr4,SK Nursery Reef (BB),BB_4,500,0.886,0.47,265,NA,0.01,ACER,235,5,0.021276596,0.978723404
48,State Yr5,BC (WEDR),BC_4,500,0.992,0.232,228,NA,0,ACER,116,0,0,1
49,State Yr6,W (Looe),W_AP_15,504,0.984,0,82,NA,0,APAL,0,0,NA,NA
50,State Yr6,W (Looe),W_AP_16,604,0.97,0,90,NA,0,APAL,0,0,NA,NA
51,State Yr6,W (Looe),W_AP_17b,712,0.989,0,88,NA,0.001404494,APAL,0,1,1.13%,98.87%
52,State Yr4,Site V,V_AP_3,265,0.981,0.023,84,NA,0.011320755,APAL,6.095,3.000000001,0.492206727,0.507793273
53,State Yr4,Site Z,Z_AP_3,500,0.884,0.802,109,NA,0.01,APAL,401,5,0.012468828,0.987531172
54,State Yr5,Q (American),Q_AP_5,480,0.975,0.635,48,NA,0,APAL,304.8,0,0,1
55,State Yr5,WS (W. Sambo),WS_AP_1,300,1,0.227,32,NA,0,APAL,68.1,0,0,1
56,State Yr5,WS (W. Sambo),WS_AP_2,1090,0.968,0.638,178,NA,0.000917431,APAL,695.42,1,0.00143798,0.99856202
57,State Yr5,WS (W. Sambo),WS_AP_3b,725,0.956,0.619,87,NA,0.031724138,APAL,448.775,23,0.051250627,0.948749373
58,State Yr4,S (Sand Key),S_AP_3,390,0.838,0.521,139,NA,0,APAL,203.19,0,0,1
59,State Yr4,S (Sand Key),S_AP_4,345,0.826,0.748,142,NA,0.008695652,APAL,258.06,3,0.011625203,0.988374797
